id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018286_Treat	5.41638739356551	5.16785057224228	6.91753270371182	7.77128889408394	6.45444615824506	5.99504869134312	3.90590637445141	4.14217128702114	4.4875432466893	7.4245492166119	6.24252045075191	3.89244271745189	6.70070639101464	8.89839132438281	4.56009132538818	8.31215719386079	1
Train.GSE164760_GSM5018287_Treat	5.34072012653813	4.77141680563619	6.70921980174841	5.95725400355822	6.45847136125328	5.31377873277858	3.4786257322288	3.29012649679264	6.55709057438155	6.7531803439717	5.09223384694339	5.10996898949922	5.882660216435	8.39540802851655	4.7960792889218	8.8898169942335	1
Train.GSE164760_GSM5018288_Treat	4.82984438684725	4.56459495138368	4.44970488304383	5.90233699853132	5.94598591394338	5.76788210906572	4.32641676851442	4.40714565912026	6.01670099146638	5.7007029140006	5.96642158565957	5.07340824389055	7.07678255365067	8.05199155027822	3.6049714780982	8.35100644120446	1
Train.GSE164760_GSM5018289_Treat	5.73507357469923	4.16940179124212	4.48606553331192	5.13109893832233	8.37750478193614	4.20905150066802	3.31261688606047	4.11640815808234	6.19099812215461	7.24442778016132	5.367534468552	5.06240105251441	5.60900369989532	7.07361858141888	5.29580633590333	9.33022205088489	1
Train.GSE164760_GSM5018290_Treat	5.81586139377073	4.49070111974565	6.77364173826814	5.08402117893196	6.1405423062225	8.05231394670996	4.17078636190019	4.80007949942298	6.53496971581371	6.33136335650408	5.08260282165045	5.3589606216519	6.45713385249174	7.22368152333957	7.04023654452101	8.76851900680934	1
Train.GSE164760_GSM5018291_Treat	6.16780061097137	5.2361188375753	4.93263828074581	5.6020617869018	7.74019216560526	5.33508219688205	4.05787504196893	2.93690180501289	6.60086914429519	6.5122963326777	5.0178975071048	4.75410083810109	7.74758994032219	7.79980571348265	4.98893904330995	8.86319754062749	1
Train.GSE164760_GSM5018292_Treat	6.10704565889196	6.34362738519634	5.61297621907892	4.88007991162587	6.3877623524293	4.66927385491654	3.61114287217105	4.50211566701352	5.82413284708026	5.9403237537489	5.08917101895086	4.36587728046237	4.82712377310989	7.90600412955622	6.15806889867663	9.25898476026303	1
Train.GSE164760_GSM5018293_Treat	5.19460659426489	5.14936511409437	7.41500301752681	6.08012702289116	6.27322250041607	4.64076209587436	5.16470315982582	3.83203504642727	6.03420980844127	6.03303920649009	5.78159780667873	4.7533988813291	8.40230902019693	7.65897259053186	5.17900403055853	8.97881125167444	1
Train.GSE164760_GSM5018294_Treat	4.84456712899703	5.81605944979494	6.39959013861464	6.44500339179432	6.61984828535174	5.93164320794735	3.68113015194999	4.02500403878917	5.76636946254706	6.87656064124802	5.62150123045375	5.23514388510352	6.90797014624905	7.8395066080318	3.96336523626329	8.63342004954315	1
Train.GSE164760_GSM5018295_Treat	5.13289334572923	4.63367777835363	5.17620445117206	6.82884563363714	6.76171600055794	4.03891111622152	3.04254926650235	3.42219099975161	5.82451538755864	6.81404964809438	4.62373574664999	6.04403842478907	5.79669371361523	8.82840172499558	6.96891464236583	8.87162314426296	1
